"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2022.11",109.6,0.1,-1.6,-2.6,0.8,-8.0,-0.2,-0.9,-0.06,100.1,-0.2,1.9,-0.1,109.1,-0.2,-0.9,-0.1,1.5,-1.5,-0.9,-1.2,0.1,100.7,-0.5,111.6,0.5,0.9,0.0,-3.0,0.0,0.8
"2022.12",109.3,-0.3,-2.5,-2.1,0.1,-22.2,0.2,0.4,-0.35,99.6,-0.5,1.6,-0.3,108.8,-0.3,-2.0,0.4,0.8,-0.5,-0.7,-2.8,0.1,100.2,-0.5,112.1,0.4,0.7,-0.1,-2.5,0.0,0.8
"2023.01",109.3,0.0,-4.5,-1.7,-3.6,25.0,-0.1,1.9,-0.39,99.3,-0.3,1.4,-0.2,108.5,-0.3,-0.6,0.0,-0.1,-1.1,-0.4,-1.2,0.0,99.8,-0.4,112.5,0.4,1.8,-0.1,-0.5,0.0,0.3
"2023.02",109.2,-0.1,-0.3,0.0,-3.4,1.1,-0.6,0.5,-0.27,99.0,-0.3,1.2,-0.2,109.0,0.5,-0.7,0.7,2.1,1.2,-0.1,0.8,0.1,100.0,0.2,112.6,0.1,0.8,-0.1,-0.2,0.2,-0.3
"2023.03",109.3,0.1,0.0,-0.1,-3.6,-3.4,-0.2,0.8,-0.11,98.8,-0.2,1.1,-0.1,109.6,0.6,1.7,0.2,0.8,0.6,0.6,0.3,0.2,100.3,0.3,112.8,0.2,1.1,0.0,0.7,0.2,-0.5
"2023.04",109.4,0.1,-0.2,1.3,-1.6,-23.1,0.1,2.2,-0.12,98.6,-0.2,1.0,-0.1,110.1,0.5,0.5,0.7,1.4,0.2,-0.2,-0.2,0.2,100.5,0.2,113.0,0.2,1.6,0.0,-0.8,0.2,-0.3
"2023.05",109.8,0.4,-0.5,1.0,-0.4,0.7,0.9,1.0,-0.10,98.7,0.1,1.2,0.2,110.4,0.3,2.0,-0.2,-0.8,-0.9,0.3,1.3,0.1,100.6,0.1,113.2,0.2,1.4,-0.1,-1.8,0.1,-0.1
"2023.06",110.5,0.6,4.0,1.5,-0.5,9.9,0.8,2.4,-0.01,99.1,0.4,1.7,0.5,110.5,0.1,0.1,0.0,0.5,0.2,0.0,-0.5,0.0,100.5,-0.1,113.4,0.2,-0.3,-0.2,1.8,0.0,0.0
"2023.07",111.1,0.5,3.5,0.1,-0.2,4.3,0.7,0.9,0.11,99.4,0.3,2.1,0.4,110.3,-0.2,-0.4,0.2,0.0,-0.4,0.1,-3.0,0.0,100.1,-0.4,113.4,0.0,-1.3,-0.3,-1.9,0.0,0.0
"2023.08",111.4,0.3,1.7,-0.1,-1.5,-16.8,0.2,0.5,0.16,99.4,0.0,2.3,0.2,110.4,0.1,0.2,0.6,0.3,-0.3,-0.2,-0.9,0.0,100.0,-0.1,113.4,0.0,-0.3,-0.3,-0.7,0.0,0.0
"2023.09",111.8,0.4,-1.6,-1.0,3.6,1.6,-0.5,-0.7,0.10,99.6,0.2,2.6,0.3,110.5,0.1,1.5,0.4,0.8,-1.2,-0.1,-2.7,0.1,99.8,-0.2,113.6,0.2,0.8,-0.1,-3.3,0.0,0.0
"2023.10",112.4,0.5,1.1,-0.8,3.5,13.8,-0.5,-2.6,0.17,99.8,0.2,3.0,0.4,110.9,0.4,1.9,0.2,0.5,0.1,0.4,-1.5,0.2,99.9,0.1,114.0,0.4,0.2,0.0,2.3,0.2,0.1
"2023.11",113.0,0.5,4.3,-1.0,2.8,7.5,-0.2,-1.4,0.01,100.1,0.3,3.4,0.4,111.0,0.1,0.5,-0.1,-0.8,-0.1,0.0,1.0,0.1,99.9,0.0,114.2,0.2,-1.3,0.0,0.6,0.1,0.1
"2023.12",113.4,0.4,4.6,-0.6,-0.8,8.9,0.5,0.1,-0.19,100.2,0.1,3.6,0.2,111.1,0.1,-0.2,0.3,-2.2,0.4,-0.4,0.9,0.1,99.8,-0.1,114.4,0.2,-2.2,0.0,0.3,0.0,0.1
"2024.01",113.7,0.3,4.5,-0.2,-0.5,-6.6,0.7,1.7,-0.27,100.2,0.0,3.8,0.2,111.5,0.4,-0.1,0.3,2.1,0.5,-0.1,-0.1,0.1,99.9,0.1,114.4,0.0,-1.7,-0.1,-1.8,0.1,0.0
"2024.02",114.2,0.4,1.1,0.6,0.6,2.6,0.6,2.3,-0.15,100.4,0.2,4.0,0.2,112.0,0.4,0.4,0.8,2.6,-0.6,0.1,-0.3,0.2,100.1,0.2,114.6,0.2,-1.0,-0.1,-1.5,0.2,0.0
"2024.03",114.3,0.1,-2.9,0.3,-2.1,-14.7,0.3,1.9,0.05,100.2,-0.2,3.9,-0.1,111.9,-0.1,-0.5,0.2,0.2,-0.4,-1.1,0.1,0.0,99.8,-0.3,114.8,0.2,0.3,-0.1,0.1,0.1,0.0
"2024.04",114.9,0.5,1.1,1.0,-0.7,3.2,0.3,2.0,0.05,100.5,0.3,4.2,0.3,112.0,0.1,0.7,0.2,-2.2,-1.0,-0.1,1.7,0.0,99.7,-0.1,115.1,0.3,0.2,-0.1,2.2,0.1,0.0
"2024.05",115.2,0.3,0.3,0.2,-3.1,-1.8,0.3,1.0,0.04,100.5,0.0,4.2,0.0,111.6,-0.4,-0.5,-0.4,-3.6,0.1,-1.1,1.0,-0.2,99.1,-0.6,115.2,0.1,-0.3,-0.1,1.1,-0.2,0.0
"2024.06",115.7,0.4,0.8,0.8,-1.7,19.7,0.5,0.6,-0.04,100.7,0.2,4.3,0.1,111.7,0.1,0.8,-0.2,-0.5,0.1,0.1,-0.1,-0.1,99.0,-0.1,115.4,0.2,-0.8,-0.1,-0.2,-0.1,0.0
"2024.07",116.0,0.3,-2.3,0.5,-0.4,4.1,0.5,1.7,-0.13,100.7,0.0,4.3,0.0,111.2,-0.4,-1.3,0.0,-2.2,-0.5,-1.7,0.1,0.0,98.3,-0.7,115.5,0.1,-0.1,0.0,-1.5,-0.1,-0.1
"2024.08",116.2,0.2,0.5,0.1,-0.8,-2.4,0.3,-0.8,-0.17,100.6,-0.1,4.0,-0.3,111.3,0.1,0.3,0.2,-1.4,0.2,0.1,-0.9,0.1,98.2,-0.1,115.8,0.3,0.4,0.0,0.9,0.0,-0.2
"2024.09 p)",116.6,0.3,0.1,-0.3,4.4,-5.2,0.4,-1.9,-0.12,100.7,0.1,4.0,0.0,111.3,0.0,0.0,-0.2,-1.5,-0.3,0.3,0.8,0.1,98.1,-0.1,116.0,0.2,0.6,0.0,0.9,0.1,-0.2
"2024.10 p)",116.9,0.3,-1.0,-1.1,2.9,0.4,0.0,-2.6,0.02,100.7,0.0,3.9,-0.1,111.6,0.3,1.3,-0.2,-2.8,0.1,0.8,0.8,0.1,98.1,0.0,116.2,0.2,0.0,-0.1,0.7,0.1,-0.2
"2024.11 p)",117.3,0.3,-2.4,-0.5,1.7,18.4,-0.1,-1.8,0.08,100.8,0.1,3.9,0.0,111.3,-0.3,-0.3,-0.1,-2.1,-0.2,-1.7,0.0,0.1,97.6,-0.5,116.3,0.1,-0.6,-0.1,-1.2,0.0,0.0
