"시점",선행종합지수(2020=100),선행종합지수 전월비(%),재고순환지표(전월차)(%p),경제심리지수(전월차)(p),기계류내수출하지수(선박제외)(전월비)(%),건설수주액(전월비)(%),수출입물가비율(전월비)(%),코스피(전월비)(%),장단기금리차(전월차)(%p),선행지수 순환변동치,〔순환변동치 전월차〕(p),선행지수 전년동월비(%),〔전년동월비 전월차〕(%p),동행종합지수(2020=100),동행종합지수 전월비(%),광공업생산지수(전월비)(%),서비스업생산지수(도소매업제외)(전월비)(%),건설기성액(전월비)(%),소매판매액지수(전월비)(%),내수출하지수(전월비)(%),수입액(전월비)(%),비농림어업취업자수(전월비)(%),동행지수 순환변동치,〔순환변동치 전월차〕(p),후행종합지수(2020=100),후행종합지수 전월비(%),생산자제품재고지수(전월비)(%),소비자물가지수변화율(서비스)(전월차)(%p),소비재수입액(전월비)(%),취업자수(전월비)(%),CP유통수익률(전월차)(%p)
"2018.08",94.5,-0.1,-0.7,-1.7,-2.8,-12.0,0.3,-2.5,-0.10,100.5,-0.4,2.4,-0.4,98.6,0.0,0.1,0.1,-0.6,0.2,0.4,-0.4,-0.1,100.5,-0.2,95.4,0.2,0.4,-0.1,-0.5,0.0,0.0
"2018.09",94.6,0.1,0.5,-0.2,-2.0,5.1,-0.1,-1.3,-0.12,100.4,-0.1,2.2,-0.2,98.5,-0.1,-0.4,0.2,-0.9,-0.5,-0.1,-1.5,0.0,100.2,-0.3,95.5,0.1,-0.4,-0.1,-1.8,0.1,0.0
"2018.10",94.7,0.1,0.9,-0.2,-1.7,-3.7,-0.7,-1.9,-0.07,100.1,-0.3,2.0,-0.2,98.6,0.1,0.2,0.3,-1.9,-0.2,0.5,-0.2,0.1,100.1,-0.1,95.9,0.4,0.5,0.0,3.2,0.1,0.0
"2018.11",94.7,0.0,-1.9,-1.0,-1.4,6.5,-0.3,-3.0,-0.07,99.9,-0.2,1.8,-0.2,98.6,0.0,-0.7,-0.2,-2.3,0.2,-0.5,1.4,0.3,99.9,-0.2,96.2,0.3,1.1,0.1,0.6,0.3,0.0
"2018.12",94.7,0.0,-0.6,-1.6,-2.2,2.7,0.5,-3.6,-0.16,99.6,-0.3,1.5,-0.3,98.7,0.1,-0.7,-0.2,-0.6,0.8,-0.4,0.7,0.1,99.8,-0.1,96.7,0.5,1.8,0.0,2.7,0.2,0.1
"2019.01",94.9,0.2,-0.1,-1.1,-1.3,5.0,0.5,-0.8,-0.17,99.5,-0.1,1.4,-0.1,99.0,0.3,-1.1,0.0,1.2,1.3,0.3,1.2,0.1,99.9,0.1,96.9,0.2,0.3,0.0,-0.2,0.1,0.0
"2019.02",95.0,0.1,0.9,1.1,-2.1,-2.4,-0.6,2.0,-0.14,99.3,-0.2,1.4,0.0,98.7,-0.3,-1.4,0.1,1.0,-0.8,-1.4,-1.5,0.0,99.4,-0.5,97.0,0.1,-0.6,-0.1,-2.1,0.0,0.0
"2019.03",95.4,0.4,2.3,0.6,0.7,11.2,-1.5,1.4,-0.01,99.4,0.1,1.6,0.2,98.8,0.1,-0.1,0.2,0.3,0.8,-0.4,-2.4,0.2,99.3,-0.1,97.1,0.1,-1.1,-0.2,1.0,0.1,0.0
"2019.04",95.6,0.2,-0.5,2.0,-0.4,-0.7,-1.4,1.7,-0.04,99.4,0.0,1.7,0.1,98.8,0.0,0.6,0.2,-1.0,-0.7,-0.8,0.2,0.1,99.1,-0.2,97.3,0.2,0.5,-0.2,-0.8,0.0,0.0
"2019.05",95.7,0.1,-1.1,-1.1,-0.1,-3.2,-0.8,-1.9,-0.05,99.1,-0.3,1.6,-0.1,99.3,0.5,1.4,0.6,0.6,1.3,0.2,-0.3,0.1,99.4,0.3,97.6,0.3,0.7,-0.2,4.4,0.0,0.0
